,INATTENTIONIND,UNDERINFL,PEDROWNOTGRNT,SPEEDING,SEVERITYCODE,ADDRTYPE_1.0,ADDRTYPE_2.0,JUNCTIONTYPE_1.0,JUNCTIONTYPE_2.0,JUNCTIONTYPE_3.0,JUNCTIONTYPE_4.0,JUNCTIONTYPE_5.0,JUNCTIONTYPE_6.0,ROADCOND_2.0,ROADCOND_3.0,ROADCOND_4.0,LIGHTCOND_1.0,LIGHTCOND_2.0,LIGHTCOND_4.0,SDOT_COLCODE_1,SDOT_COLCODE_2,SDOT_COLCODE_3,SDOT_COLCODE_4,SDOT_COLCODE_5,SDOT_COLCODE_6,SDOT_COLCODE_7,WEATHER_1.0,WEATHER_2.0,WEATHER_3.0,WEATHER_4.0
INATTENTIONIND,1.0,-0.030147292769318084,-0.02990701430842422,-0.05363239699319027,0.04104835642667757,-0.08317336158937141,0.08361911746806497,0.013713149774038771,-0.08679159163627556,-0.012676743083939745,0.07937127843365309,0.03249203092055293,0.008809440516047798,-0.019413010829602707,-0.018390626326111933,-0.07405238729236424,-0.04722316412123336,-0.00902364042727904,-0.07453923323712662,0.03116266429744663,-0.005158703506052777,-0.026131502118528913,-0.014039567981470897,-0.009312358836566588,0.001199825015278009,-0.005766399317229985,-0.020385812376541263,0.0029033290394961937,0.00853563995342086,-0.07927160291649281
UNDERINFL,-0.030147292769318084,1.0,-0.019385824758628847,0.09079124250000528,0.040559883123364955,-0.047212867637420435,0.047201599595417185,0.0035759195419537465,-0.048406606511550994,-0.028714957940468744,0.01011241091783301,0.051757196163648794,-0.0007446128037025568,0.016225593597796708,-0.0011424423332457453,-0.055062872273609786,0.22266870389437982,0.028587039262089026,-0.05064353388538413,-0.10411618294154575,0.0019213166041054503,0.15574451466137085,-0.00808700971865802,-0.0037879321511710556,-0.00878990896556236,-0.0021330060191237926,0.0105093591384751,0.007770381581730417,0.0020789807947632745,-0.05596058538457534
PEDROWNOTGRNT,-0.02990701430842422,-0.019385824758628847,1.0,-0.030314936823410157,0.2068712931514164,0.1564607190988731,-0.1562538389792395,-0.01161120578462317,0.16040057022847862,0.014121661474371673,-0.05143187899487811,-0.12170605511633902,-0.004778298504542721,0.01147033586694615,-0.00578879298072105,-0.023468662437195982,0.004178518339134477,-0.0011219252581541426,-0.02800988859094778,-0.36559918110626993,0.6005109254596332,-0.04560111854651879,-0.006209060742053864,-0.0041030271518474265,0.11569656513982961,0.03657455860266807,0.014251120616374681,-7.28035215655012e-06,-0.0012860380529123921,-0.025542154016343684
SPEEDING,-0.05363239699319027,0.09079124250000528,-0.030314936823410157,1.0,0.03496913668029739,-0.06450254709840414,0.06417388699526824,0.003966446814340893,-0.0658694249118568,-0.029634698760306225,0.04455418663600133,0.04567826107852956,0.005042648213075286,0.1306980111644396,0.05327667831444207,-0.050145364997964695,0.08850925357661932,0.0169845631955585,-0.046114894592634875,-0.14876444013067022,-0.042995948459554276,0.2552947641543118,-0.007541664280321261,-0.005845006506630116,-0.008381403328234142,0.0017836321884949365,0.1125748085477518,0.008684412313159107,0.011894712229541433,-0.05093692813839282
SEVERITYCODE,0.04104835642667757,0.040559883123364955,0.2068712931514164,0.03496913668029739,1.0,0.19264302945452463,-0.19138881806138602,-0.0022792558610674205,0.19476119850949072,-0.003155741272214777,0.0097598648287908,-0.1885140148248837,0.0001828531151155528,0.028899248022828172,-0.021427511685882833,-0.1382993202707791,-0.004408382285525412,-0.016822413105508343,-0.13488761727163598,-0.17425710638141906,0.2978710058830916,-0.02485315983514122,-0.019281773101503898,-0.0081674135807697,0.11699477300598334,0.043912398676095074,0.02643133757962192,0.0022050139344624853,0.008561032253245044,-0.13881547975006614
ADDRTYPE_1.0,-0.08317336158937141,-0.047212867637420435,0.1564607190988731,-0.06450254709840414,0.19264302945452463,1.0,-0.9971681941781556,0.14628840621896125,0.9747538769875597,-0.17972311425602136,-0.27135505704869745,-0.6897565056145877,-0.009866419824796649,0.03568222275209755,-0.022979565308614888,-0.12188225462508369,-0.004369392582904332,-0.022428128907523007,-0.12122724083982808,-0.023483775371148423,0.16832419232852347,-0.10198493594956545,-0.023484302900041564,-0.01305460659591998,0.03912653914343153,0.004990628982695781,0.0326377323541964,-0.003739653864063197,0.01166720111961211,-0.1226441165791212
ADDRTYPE_2.0,0.08361911746806497,0.047201599595417185,-0.1562538389792395,0.06417388699526824,-0.19138881806138602,-0.9971681941781556,1.0,-0.14598265583872896,-0.9719933720445726,0.17732373406696428,0.2721257942393637,0.6876919809005628,0.009937686202004652,-0.03508376659045569,0.02255476747949841,0.12059876708489971,0.004830940164011981,0.020805553831597615,0.12007756766915482,0.027095199671393337,-0.1683580518836434,0.10107627462554675,0.02296950804558834,0.012659620183540127,-0.038833706655336996,-0.004902795137235692,-0.03209898975532289,0.003699051059827923,-0.011433162926641358,0.12125375654833008
JUNCTIONTYPE_1.0,0.013713149774038771,0.0035759195419537465,-0.01161120578462317,0.003966446814340893,-0.0022792558610674205,0.14628840621896125,-0.14598265583872896,1.0,-0.07560547762443512,-0.026330599369896547,-0.03976041366007837,-0.10109088364336387,-0.003154005135827462,-0.004361785076678135,0.0001786965398574032,0.0204349515090686,-0.010887507441114386,-0.0032886464076796115,0.02397245287949647,0.011011770048647439,-0.018539512830505582,-0.0014496337785634644,-0.001396213366298702,0.0013775157666509911,-0.007497451285606667,-0.00162088783370968,-0.002940273815967418,-0.00183973170118364,-0.006199311537158606,0.02000270807415236
JUNCTIONTYPE_2.0,-0.08679159163627556,-0.048406606511550994,0.16040057022847862,-0.0658694249118568,0.19476119850949072,0.9747538769875597,-0.9719933720445726,-0.07560547762443512,1.0,-0.1752033094966335,-0.26456503942071596,-0.6726568250691107,-0.020986690435956037,0.036966751042348055,-0.023174571170281707,-0.12775673902473253,-0.00196618968022336,-0.02182490856013423,-0.12786021614429038,-0.02594109130354536,0.17383733495526874,-0.1023702071345689,-0.02334767926569991,-0.013457955933851379,0.041161642698683595,0.00540666511009943,0.03361486288984517,-0.0033340698974116457,0.01319595631308484,-0.1284124917542093
JUNCTIONTYPE_3.0,-0.012676743083939745,-0.028714957940468744,0.014121661474371673,-0.029634698760306225,-0.003155741272214777,-0.17972311425602136,0.17732373406696428,-0.026330599369896547,-0.1752033094966335,1.0,-0.0921382455232418,-0.23426156319425825,-0.007308890246222856,-0.008599101087919317,-0.006572869094107382,-0.027183888721690787,-0.03797834901192236,-0.00892522077404404,-0.029665077648672343,0.02574694271557762,0.011753875883672058,-0.03857058344284093,0.0039592186376129455,-0.0007268722918041548,0.013359072815450514,-0.0015676449391828018,-0.009315085163116368,-0.0016954728337721112,0.013605991801313883,-0.025529176167823187
JUNCTIONTYPE_4.0,0.07937127843365309,0.01011241091783301,-0.05143187899487811,0.04455418663600133,0.0097598648287908,-0.27135505704869745,0.2721257942393637,-0.03976041366007837,-0.26456503942071596,-0.0921382455232418,1.0,-0.35374571335957544,-0.011036759760164556,0.0167758766245504,0.0009668135126865051,-0.04118145960728019,-0.0008865291762732159,-0.01335552260186676,-0.04809329713694753,0.04985879048734471,-0.06690550802500138,0.01904937303196874,-0.009557749186498201,-0.002901445106617258,-0.020502362549455623,-0.004522492644881083,0.014350173951989736,0.0022947181621255602,0.010209251777927518,-0.04003751005032011
JUNCTIONTYPE_5.0,0.03249203092055293,0.051757196163648794,-0.12170605511633902,0.04567826107852956,-0.1885140148248837,-0.6897565056145877,0.6876919809005628,-0.10109088364336387,-0.6726568250691107,-0.23426156319425825,-0.35374571335957544,1.0,-0.02806097054850056,-0.041422700411800496,0.024432146893345323,0.15631333266493905,0.022263449161378936,0.034275447749334484,0.1614613768486124,-0.022188215733407457,-0.12170105011907342,0.10195623948216621,0.02685201477955682,0.014715916969118574,-0.03015940829728607,-0.0010148880700691118,-0.03634776533786405,0.0023705464867814097,-0.024370673510603406,0.15561308067649404
JUNCTIONTYPE_6.0,0.008809440516047798,-0.0007446128037025568,-0.004778298504542721,0.005042648213075286,0.0001828531151155528,-0.009866419824796649,0.009937686202004652,-0.003154005135827462,-0.020986690435956037,-0.007308890246222856,-0.011036759760164556,-0.02806097054850056,1.0,0.007123908596792954,-0.0022428764529676083,-0.0031702373652724865,0.0024949714202466213,-0.00046686534083545644,-0.004991619042385855,-0.0043346567656828506,-0.004534305495486352,0.009555107388262466,-0.0011376422767877146,-0.0007517686401642441,0.0010524012249634137,-0.0009156509451512803,0.002659902550079584,0.0077300766085556735,0.00270958656261631,-0.00502888048883677
ROADCOND_2.0,-0.019413010829602707,0.016225593597796708,0.01147033586694615,0.1306980111644396,0.028899248022828172,0.03568222275209755,-0.03508376659045569,-0.004361785076678135,0.036966751042348055,-0.008599101087919317,0.0167758766245504,-0.041422700411800496,0.007123908596792954,1.0,-0.04525593501007801,-0.15567081021671256,0.17599759587004954,0.032020850111766974,-0.10974589377689722,-0.039390807840596266,0.005861760295695411,0.08166445075189761,-0.0012780896146846567,-0.002449859954923831,-0.02212436598900966,-0.0040121623480755585,0.7513977336815548,0.011755890664807351,0.12778381879388323,-0.13304667285360014
ROADCOND_3.0,-0.018390626326111933,-0.0011424423332457453,-0.00578879298072105,0.05327667831444207,-0.021427511685882833,-0.022979565308614888,0.02255476747949841,0.0001786965398574032,-0.023174571170281707,-0.006572869094107382,0.0009668135126865051,0.024432146893345323,-0.0022428764529676083,-0.04525593501007801,1.0,-0.019764655790046732,0.029991370324486826,0.005468518530544292,0.022639246657945245,-0.014068255100430214,-0.008250370363732294,0.02889343565315585,0.0008643491710964942,-0.0019259121162050607,-0.005745626380803729,-0.002345752609602947,0.08814886999319886,0.006686831815758219,-0.0017047743642917964,0.008735610547015056
ROADCOND_4.0,-0.07405238729236424,-0.055062872273609786,-0.023468662437195982,-0.050145364997964695,-0.1382993202707791,-0.12188225462508369,0.12059876708489971,0.0204349515090686,-0.12775673902473253,-0.027183888721690787,-0.04118145960728019,0.15631333266493905,-0.0031702373652724865,-0.15567081021671256,-0.019764655790046732,1.0,-0.10825359413197186,-0.006662919895465284,0.6867015738301433,-0.02819323054029096,-0.03839204656749806,-0.04782507446462756,-0.004192408008966697,-0.003978958761100272,-0.019595340903263495,-0.005171677259864931,-0.1206043541910831,-0.011124346392448843,-0.0884425613143527,0.8894373895038375
LIGHTCOND_1.0,-0.04722316412123336,0.22266870389437982,0.004178518339134477,0.08850925357661932,-0.004408382285525412,-0.004369392582904332,0.004830940164011981,-0.010887507441114386,-0.00196618968022336,-0.03797834901192236,-0.0008865291762732159,0.022263449161378936,0.0024949714202466213,0.17599759587004954,0.029991370324486826,-0.10825359413197186,1.0,-0.07999913233127715,-0.1647542680143651,-0.08763222084730703,0.010341151096112266,0.13559716202674654,-0.0022676347550435894,0.002814690149744566,-0.014819182777125309,-0.007437358184745027,0.15839418534849856,0.03200417283903212,0.028830627622557895,-0.10403542465630215
LIGHTCOND_2.0,-0.00902364042727904,0.028587039262089026,-0.0011219252581541426,0.0169845631955585,-0.016822413105508343,-0.022428128907523007,0.020805553831597615,-0.0032886464076796115,-0.02182490856013423,-0.00892522077404404,-0.01335552260186676,0.034275447749334484,-0.00046686534083545644,0.032020850111766974,0.005468518530544292,-0.006662919895465284,-0.07999913233127715,1.0,-0.030043460906026543,-0.028763218946844638,-0.0001433354642751223,0.04170184316067355,0.006121998990129736,0.0005486788969168109,-0.003373687770190766,-0.002252242421371464,0.0243340915333543,0.017199471761270846,0.002064791287192997,-0.0016537914339872085
LIGHTCOND_4.0,-0.07453923323712662,-0.05064353388538413,-0.02800988859094778,-0.046114894592634875,-0.13488761727163598,-0.12122724083982808,0.12007756766915482,0.02397245287949647,-0.12786021614429038,-0.029665077648672343,-0.04809329713694753,0.1614613768486124,-0.004991619042385855,-0.10974589377689722,0.022639246657945245,0.6867015738301433,-0.1647542680143651,-0.030043460906026543,1.0,-0.013790405183261047,-0.04288852345242335,-0.04365554345857064,-0.004092620886280171,-0.004481525531747687,-0.017724380551186462,-0.007697577696906515,-0.08929191078256024,-0.008647920879523142,-0.07796957649396097,0.6979878084771863
SDOT_COLCODE_1,0.03116266429744663,-0.10411618294154575,-0.36559918110626993,-0.14876444013067022,-0.17425710638141906,-0.023483775371148423,0.027095199671393337,0.011011770048647439,-0.02594109130354536,0.02574694271557762,0.04985879048734471,-0.022188215733407457,-0.0043346567656828506,-0.039390807840596266,-0.014068255100430214,-0.02819323054029096,-0.08763222084730703,-0.028763218946844638,-0.013790405183261047,1.0,-0.5448441852844652,-0.6625969831951489,-0.08844620043946587,-0.05844638617011146,-0.2206804248791006,-0.07118744501693794,-0.031378720273013604,-0.008389075449465891,0.001603969679517895,-0.022311965394507968
SDOT_COLCODE_2,-0.005158703506052777,0.0019213166041054503,0.6005109254596332,-0.042995948459554276,0.2978710058830916,0.16832419232852347,-0.1683580518836434,-0.018539512830505582,0.17383733495526874,0.011753875883672058,-0.06690550802500138,-0.12170105011907342,-0.004534305495486352,0.005861760295695411,-0.008250370363732294,-0.03839204656749806,0.010341151096112266,-0.0001433354642751223,-0.04288852345242335,-0.5448441852844652,1.0,-0.06822157904290749,-0.0091065000404966,-0.0060176922849969165,-0.02272145426382149,-0.007329523119240403,0.01031975426458801,-0.0031057996775122497,-0.0021575206814441476,-0.04014800981376111
SDOT_COLCODE_3,-0.026131502118528913,0.15574451466137085,-0.04560111854651879,0.2552947641543118,-0.02485315983514122,-0.10198493594956545,0.10107627462554675,-0.0014496337785634644,-0.1023702071345689,-0.03857058344284093,0.01904937303196874,0.10195623948216621,0.009555107388262466,0.08166445075189761,0.02889343565315585,-0.04782507446462756,0.13559716202674654,0.04170184316067355,-0.04365554345857064,-0.6625969831951489,-0.06822157904290749,1.0,-0.011074614756506148,-0.007318247788171048,-0.02763205968934369,-0.008913594084834274,0.06184716048229034,0.017449790207236634,0.014367679277968632,-0.046035811081546
SDOT_COLCODE_4,-0.014039567981470897,-0.00808700971865802,-0.006209060742053864,-0.007541664280321261,-0.019281773101503898,-0.023484302900041564,0.02296950804558834,-0.001396213366298702,-0.02334767926569991,0.0039592186376129455,-0.009557749186498201,0.02685201477955682,-0.0011376422767877146,-0.0012780896146846567,0.0008643491710964942,-0.004192408008966697,-0.0022676347550435894,0.006121998990129736,-0.004092620886280171,-0.08844620043946587,-0.0091065000404966,-0.011074614756506148,1.0,-0.0009768701445246875,-0.003688442223264716,-0.0011898236017633048,-0.004285449363998579,-0.002260347319082249,0.005947556064543099,-0.005826145073780622
SDOT_COLCODE_5,-0.009312358836566588,-0.0037879321511710556,-0.0041030271518474265,-0.005845006506630116,-0.0081674135807697,-0.01305460659591998,0.012659620183540127,0.0013775157666509911,-0.013457955933851379,-0.0007268722918041548,-0.002901445106617258,0.014715916969118574,-0.0007517686401642441,-0.002449859954923831,-0.0019259121162050607,-0.003978958761100272,0.002814690149744566,0.0005486788969168109,-0.004481525531747687,-0.05844638617011146,-0.0060176922849969165,-0.007318247788171048,-0.0009768701445246875,1.0,-0.002437370033695607,-0.000786250730466048,-0.0009463900421112617,-0.0014936665637800437,0.001486922658236983,-0.003418290473538572
SDOT_COLCODE_6,0.001199825015278009,-0.00878990896556236,0.11569656513982961,-0.008381403328234142,0.11699477300598334,0.03912653914343153,-0.038833706655336996,-0.007497451285606667,0.041161642698683595,0.013359072815450514,-0.020502362549455623,-0.03015940829728607,0.0010524012249634137,-0.02212436598900966,-0.005745626380803729,-0.019595340903263495,-0.014819182777125309,-0.003373687770190766,-0.017724380551186462,-0.2206804248791006,-0.02272145426382149,-0.02763205968934369,-0.003688442223264716,-0.002437370033695607,1.0,-0.0029687061361768482,-0.019266442462435147,-0.0026947079472355332,0.0003260446592242059,-0.021043363556656015
SDOT_COLCODE_7,-0.005766399317229985,-0.0021330060191237926,0.03657455860266807,0.0017836321884949365,0.043912398676095074,0.004990628982695781,-0.004902795137235692,-0.00162088783370968,0.00540666511009943,-0.0015676449391828018,-0.004522492644881083,-0.0010148880700691118,-0.0009156509451512803,-0.0040121623480755585,-0.002345752609602947,-0.005171677259864931,-0.007437358184745027,-0.002252242421371464,-0.007697577696906515,-0.07118744501693794,-0.007329523119240403,-0.008913594084834274,-0.0011898236017633048,-0.000786250730466048,-0.0029687061361768482,1.0,-0.0028237278699074332,-0.0018192794003251465,-0.003488035564915136,-0.006227377880141494
WEATHER_1.0,-0.020385812376541263,0.0105093591384751,0.014251120616374681,0.1125748085477518,0.02643133757962192,0.0326377323541964,-0.03209898975532289,-0.002940273815967418,0.03361486288984517,-0.009315085163116368,0.014350173951989736,-0.03634776533786405,0.002659902550079584,0.7513977336815548,0.08814886999319886,-0.1206043541910831,0.15839418534849856,0.0243340915333543,-0.08929191078256024,-0.031378720273013604,0.01031975426458801,0.06184716048229034,-0.004285449363998579,-0.0009463900421112617,-0.019266442462435147,-0.0028237278699074332,1.0,-0.02790922179821611,-0.19838830937983393,-0.12792722947806467
WEATHER_2.0,0.0029033290394961937,0.007770381581730417,-7.28035215655012e-06,0.008684412313159107,0.0022050139344624853,-0.003739653864063197,0.003699051059827923,-0.00183973170118364,-0.0033340698974116457,-0.0016954728337721112,0.0022947181621255602,0.0023705464867814097,0.0077300766085556735,0.011755890664807351,0.006686831815758219,-0.011124346392448843,0.03200417283903212,0.017199471761270846,-0.008647920879523142,-0.008389075449465891,-0.0031057996775122497,0.017449790207236634,-0.002260347319082249,-0.0014936665637800437,-0.0026947079472355332,-0.0018192794003251465,-0.02790922179821611,1.0,-0.02456746515637465,-0.01584189997164721
WEATHER_3.0,0.00853563995342086,0.0020789807947632745,-0.0012860380529123921,0.011894712229541433,0.008561032253245044,0.01166720111961211,-0.011433162926641358,-0.006199311537158606,0.01319595631308484,0.013605991801313883,0.010209251777927518,-0.024370673510603406,0.00270958656261631,0.12778381879388323,-0.0017047743642917964,-0.0884425613143527,0.028830627622557895,0.002064791287192997,-0.07796957649396097,0.001603969679517895,-0.0021575206814441476,0.014367679277968632,0.005947556064543099,0.001486922658236983,0.0003260446592242059,-0.003488035564915136,-0.19838830937983393,-0.02456746515637465,1.0,-0.11260965194463206
WEATHER_4.0,-0.07927160291649281,-0.05596058538457534,-0.025542154016343684,-0.05093692813839282,-0.13881547975006614,-0.1226441165791212,0.12125375654833008,0.02000270807415236,-0.1284124917542093,-0.025529176167823187,-0.04003751005032011,0.15561308067649404,-0.00502888048883677,-0.13304667285360014,0.008735610547015056,0.8894373895038375,-0.10403542465630215,-0.0016537914339872085,0.6979878084771863,-0.022311965394507968,-0.04014800981376111,-0.046035811081546,-0.005826145073780622,-0.003418290473538572,-0.021043363556656015,-0.006227377880141494,-0.12792722947806467,-0.01584189997164721,-0.11260965194463206,1.0
